Kod;Nazwa;Artykuły spożywcze;Rok;Wartosc;Jednostka miary;Atrybut
0000000000;POLSKA;jogurty;2012;-;kg; 
0000000000;POLSKA;jogurty;2013;0,51;kg; 
0000000000;POLSKA;jogurty;2014;0,50;kg; 
0000000000;POLSKA;jogurty;2015;0,50;kg; 
0000000000;POLSKA;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2003;5,51;l; 
0000000000;POLSKA;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2004;5,21;l; 
0000000000;POLSKA;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2005;-;l; 
0000000000;POLSKA;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2006;-;l; 
0000000000;POLSKA;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2007;-;l; 
0000000000;POLSKA;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2008;-;l; 
0000000000;POLSKA;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2009;-;l; 
0000000000;POLSKA;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2010;-;l; 
0000000000;POLSKA;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2011;-;l; 
0000000000;POLSKA;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2012;-;l; 
0000000000;POLSKA;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2013;-;l; 
0000000000;POLSKA;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2014;-;l; 
0000000000;POLSKA;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2015;-;l; 
0000000000;POLSKA;sery i twarogi;2003;0,89;kg; 
0000000000;POLSKA;sery i twarogi;2004;0,87;kg; 
0000000000;POLSKA;sery i twarogi;2005;0,87;kg; 
0000000000;POLSKA;sery i twarogi;2006;0,89;kg; 
0000000000;POLSKA;sery i twarogi;2007;0,88;kg; 
0000000000;POLSKA;sery i twarogi;2008;0,88;kg; 
0000000000;POLSKA;sery i twarogi;2009;0,92;kg; 
0000000000;POLSKA;sery i twarogi;2010;0,95;kg; 
0000000000;POLSKA;sery i twarogi;2011;0,94;kg; 
0000000000;POLSKA;sery i twarogi;2012;0,95;kg; 
0000000000;POLSKA;sery i twarogi;2013;0,83;kg; 
0000000000;POLSKA;sery i twarogi;2014;0,82;kg; 
0000000000;POLSKA;sery i twarogi;2015;0,83;kg; 
0000000000;POLSKA;jaja;2003;15,16;szt.; 
0000000000;POLSKA;jaja;2004;14,89;szt.; 
0000000000;POLSKA;jaja;2005;15,16;szt.; 
0000000000;POLSKA;jaja;2006;14,02;szt.; 
0000000000;POLSKA;jaja;2007;13,49;szt.; 
0000000000;POLSKA;jaja;2008;13,05;szt.; 
0000000000;POLSKA;jaja;2009;13,00;szt.; 
0000000000;POLSKA;jaja;2010;12,81;szt.; 
0000000000;POLSKA;jaja;2011;12,54;szt.; 
0000000000;POLSKA;jaja;2012;12,50;szt.; 
0000000000;POLSKA;jaja;2013;12,17;szt.; 
0000000000;POLSKA;jaja;2014;12,02;szt.; 
0000000000;POLSKA;jaja;2015;11,76;szt.; 
0000000000;POLSKA;oleje i tłuszcze;2003;1,61;kg; 
0000000000;POLSKA;oleje i tłuszcze;2004;1,57;kg; 
0000000000;POLSKA;oleje i tłuszcze;2005;1,53;kg; 
0000000000;POLSKA;oleje i tłuszcze;2006;1,46;kg; 
0000000000;POLSKA;oleje i tłuszcze;2007;1,42;kg; 
0000000000;POLSKA;oleje i tłuszcze;2008;1,39;kg; 
0000000000;POLSKA;oleje i tłuszcze;2009;1,37;kg; 
0000000000;POLSKA;oleje i tłuszcze;2010;1,35;kg; 
0000000000;POLSKA;oleje i tłuszcze;2011;1,31;kg; 
0000000000;POLSKA;oleje i tłuszcze;2012;1,31;kg; 
0000000000;POLSKA;oleje i tłuszcze;2013;1,23;kg; 
0000000000;POLSKA;oleje i tłuszcze;2014;1,21;kg; 
0000000000;POLSKA;oleje i tłuszcze;2015;1,15;kg; 
0000000000;POLSKA;owoce;2003;3,99;kg; 
0000000000;POLSKA;owoce;2004;3,91;kg; 
0000000000;POLSKA;owoce;2005;3,72;kg; 
0000000000;POLSKA;owoce;2006;3,55;kg; 
0000000000;POLSKA;owoce;2007;3,40;kg; 
0000000000;POLSKA;owoce;2008;3,59;kg; 
0000000000;POLSKA;owoce;2009;3,77;kg; 
0000000000;POLSKA;owoce;2010;3,43;kg; 
0000000000;POLSKA;owoce;2011;3,29;kg; 
0000000000;POLSKA;owoce;2012;3,45;kg; 
0000000000;POLSKA;owoce;2013;3,43;kg; 
0000000000;POLSKA;owoce;2014;3,59;kg; 
0000000000;POLSKA;owoce;2015;3,59;kg; 
0000000000;POLSKA;warzywa;2003;12,67;kg; 
0000000000;POLSKA;warzywa;2004;12,33;kg; 
0000000000;POLSKA;warzywa;2005;12,42;kg; 
0000000000;POLSKA;warzywa;2006;11,06;kg; 
0000000000;POLSKA;warzywa;2007;10,77;kg; 
0000000000;POLSKA;warzywa;2008;10,51;kg; 
0000000000;POLSKA;warzywa;2009;10,28;kg; 
0000000000;POLSKA;warzywa;2010;9,95;kg; 
0000000000;POLSKA;warzywa;2011;9,88;kg; 
0000000000;POLSKA;warzywa;2012;9,60;kg; 
0000000000;POLSKA;warzywa;2013;9,03;kg; 
0000000000;POLSKA;warzywa;2014;8,99;kg; 
0000000000;POLSKA;warzywa;2015;8,68;kg; 
0000000000;POLSKA;ziemniaki;2003;-;kg; 
0000000000;POLSKA;ziemniaki;2004;-;kg; 
0000000000;POLSKA;ziemniaki;2005;-;kg; 
0000000000;POLSKA;ziemniaki;2006;-;kg; 
0000000000;POLSKA;ziemniaki;2007;-;kg; 
0000000000;POLSKA;ziemniaki;2008;-;kg; 
0000000000;POLSKA;ziemniaki;2009;-;kg; 
0000000000;POLSKA;ziemniaki;2010;-;kg; 
0000000000;POLSKA;ziemniaki;2011;-;kg; 
0000000000;POLSKA;ziemniaki;2012;-;kg; 
0000000000;POLSKA;ziemniaki;2013;-;kg; 
0000000000;POLSKA;ziemniaki;2014;-;kg; 
0000000000;POLSKA;ziemniaki;2015;3,69;kg; 
0000000000;POLSKA;cukier;2003;1,69;kg; 
0000000000;POLSKA;cukier;2004;1,62;kg; 
0000000000;POLSKA;cukier;2005;1,53;kg; 
0000000000;POLSKA;cukier;2006;1,51;kg; 
0000000000;POLSKA;cukier;2007;1,42;kg; 
0000000000;POLSKA;cukier;2008;1,41;kg; 
0000000000;POLSKA;cukier;2009;1,38;kg; 
0000000000;POLSKA;cukier;2010;1,30;kg; 
0000000000;POLSKA;cukier;2011;1,18;kg; 
0000000000;POLSKA;cukier;2012;1,20;kg; 
0000000000;POLSKA;cukier;2013;1,17;kg; 
0000000000;POLSKA;cukier;2014;1,19;kg; 
0000000000;POLSKA;cukier;2015;1,09;kg; 
1000000000;Region centralny;pieczywo i produkty zbożowe;2003;9,06;kg; 
1000000000;Region centralny;pieczywo i produkty zbożowe;2004;8,92;kg; 
1000000000;Region centralny;pieczywo i produkty zbożowe;2005;8,56;kg; 
1000000000;Region centralny;pieczywo i produkty zbożowe;2006;7,96;kg; 
1000000000;Region centralny;pieczywo i produkty zbożowe;2007;7,67;kg; 
1000000000;Region centralny;pieczywo i produkty zbożowe;2008;7,54;kg; 
1000000000;Region centralny;pieczywo i produkty zbożowe;2009;7,24;kg; 
1000000000;Region centralny;pieczywo i produkty zbożowe;2010;6,83;kg; 
1000000000;Region centralny;pieczywo i produkty zbożowe;2011;6,57;kg; 
1000000000;Region centralny;pieczywo i produkty zbożowe;2012;6,47;kg; 
1000000000;Region centralny;pieczywo i produkty zbożowe;2013;6,42;kg; 
1000000000;Region centralny;pieczywo i produkty zbożowe;2014;6,25;kg; 
1000000000;Region centralny;pieczywo i produkty zbożowe;2015;5,93;kg; 
1000000000;Region centralny;pieczywo;2003;-;kg; 
1000000000;Region centralny;pieczywo;2004;-;kg; 
1000000000;Region centralny;pieczywo;2005;-;kg; 
1000000000;Region centralny;pieczywo;2006;-;kg; 
1000000000;Region centralny;pieczywo;2007;-;kg; 
1000000000;Region centralny;pieczywo;2008;-;kg; 
1000000000;Region centralny;pieczywo;2009;-;kg; 
1000000000;Region centralny;pieczywo;2010;-;kg; 
1000000000;Region centralny;pieczywo;2011;-;kg; 
1000000000;Region centralny;pieczywo;2012;-;kg; 
1000000000;Region centralny;pieczywo;2013;-;kg; 
1000000000;Region centralny;pieczywo;2014;-;kg; 
1000000000;Region centralny;pieczywo;2015;3,53;kg; 
1000000000;Region centralny;mięso;2003;5,82;kg; 
1000000000;Region centralny;mięso;2004;5,72;kg; 
1000000000;Region centralny;mięso;2005;5,64;kg; 
1000000000;Region centralny;mięso;2006;5,43;kg; 
1000000000;Region centralny;mięso;2007;5,42;kg; 
1000000000;Region centralny;mięso;2008;5,74;kg; 
1000000000;Region centralny;mięso;2009;5,66;kg; 
1000000000;Region centralny;mięso;2010;5,53;kg; 
1000000000;Region centralny;mięso;2011;5,50;kg; 
1000000000;Region centralny;mięso;2012;5,46;kg; 
1000000000;Region centralny;mięso;2013;5,31;kg; 
1000000000;Region centralny;mięso;2014;5,36;kg; 
1000000000;Region centralny;mięso;2015;5,26;kg; 
1000000000;Region centralny;mięso surowe;2003;-;kg; 
1000000000;Region centralny;mięso surowe;2004;-;kg; 
1000000000;Region centralny;mięso surowe;2005;-;kg; 
1000000000;Region centralny;mięso surowe;2006;-;kg; 
1000000000;Region centralny;mięso surowe;2007;-;kg; 
1000000000;Region centralny;mięso surowe;2008;-;kg; 
1000000000;Region centralny;mięso surowe;2009;-;kg; 
1000000000;Region centralny;mięso surowe;2010;-;kg; 
1000000000;Region centralny;mięso surowe;2011;-;kg; 
1000000000;Region centralny;mięso surowe;2012;-;kg; 
1000000000;Region centralny;mięso surowe;2013;2,91;kg; 
1000000000;Region centralny;mięso surowe;2014;2,95;kg; 
1000000000;Region centralny;mięso surowe;2015;2,98;kg; 
1000000000;Region centralny;mięso surowe drobiowe;2003;-;kg; 
1000000000;Region centralny;mięso surowe drobiowe;2004;-;kg; 
1000000000;Region centralny;mięso surowe drobiowe;2005;-;kg; 
1000000000;Region centralny;mięso surowe drobiowe;2006;-;kg; 
1000000000;Region centralny;mięso surowe drobiowe;2007;-;kg; 
1000000000;Region centralny;mięso surowe drobiowe;2008;-;kg; 
1000000000;Region centralny;mięso surowe drobiowe;2009;-;kg; 
1000000000;Region centralny;mięso surowe drobiowe;2010;-;kg; 
1000000000;Region centralny;mięso surowe drobiowe;2011;-;kg; 
1000000000;Region centralny;mięso surowe drobiowe;2012;-;kg; 
1000000000;Region centralny;mięso surowe drobiowe;2013;1,42;kg; 
1000000000;Region centralny;mięso surowe drobiowe;2014;1,44;kg; 
1000000000;Region centralny;mięso surowe drobiowe;2015;1,43;kg; 
1000000000;Region centralny;wędliny i inne przetwory mięsne;2003;-;kg; 
1000000000;Region centralny;wędliny i inne przetwory mięsne;2004;-;kg; 
1000000000;Region centralny;wędliny i inne przetwory mięsne;2005;-;kg; 
1000000000;Region centralny;wędliny i inne przetwory mięsne;2006;-;kg; 
1000000000;Region centralny;wędliny i inne przetwory mięsne;2007;-;kg; 
1000000000;Region centralny;wędliny i inne przetwory mięsne;2008;-;kg; 
1000000000;Region centralny;wędliny i inne przetwory mięsne;2009;-;kg; 
1000000000;Region centralny;wędliny i inne przetwory mięsne;2010;-;kg; 
1000000000;Region centralny;wędliny i inne przetwory mięsne;2011;-;kg; 
1000000000;Region centralny;wędliny i inne przetwory mięsne;2012;-;kg; 
1000000000;Region centralny;wędliny i inne przetwory mięsne;2013;-;kg; 
1000000000;Region centralny;wędliny i inne przetwory mięsne;2014;2,11;kg; 
1000000000;Region centralny;wędliny i inne przetwory mięsne;2015;2,02;kg; 
1000000000;Region centralny;wędliny;2003;-;kg; 
1000000000;Region centralny;wędliny;2004;-;kg; 
1000000000;Region centralny;wędliny;2005;-;kg; 
1000000000;Region centralny;wędliny;2006;-;kg; 
1000000000;Region centralny;wędliny;2007;-;kg; 
1000000000;Region centralny;wędliny;2008;-;kg; 
1000000000;Region centralny;wędliny;2009;-;kg; 
1000000000;Region centralny;wędliny;2010;-;kg; 
1000000000;Region centralny;wędliny;2011;-;kg; 
1000000000;Region centralny;wędliny;2012;-;kg; 
1000000000;Region centralny;wędliny;2013;2,11;kg; 
1000000000;Region centralny;wędliny;2014;-;kg; 
1000000000;Region centralny;wędliny;2015;-;kg; 
1000000000;Region centralny;ryby;2003;0,43;kg; 
1000000000;Region centralny;ryby;2004;0,43;kg; 
1000000000;Region centralny;ryby;2005;0,43;kg; 
1000000000;Region centralny;ryby;2006;0,42;kg; 
1000000000;Region centralny;ryby;2007;0,46;kg; 
1000000000;Region centralny;ryby;2008;0,49;kg; 
1000000000;Region centralny;ryby;2009;0,48;kg; 
1000000000;Region centralny;ryby;2010;0,47;kg; 
1000000000;Region centralny;ryby;2011;0,44;kg; 
1000000000;Region centralny;ryby;2012;0,41;kg; 
1000000000;Region centralny;ryby;2013;-;kg; 
1000000000;Region centralny;ryby;2014;-;kg; 
1000000000;Region centralny;ryby;2015;-;kg; 
1000000000;Region centralny;ryby i owoce morza;2003;-;kg; 
1000000000;Region centralny;ryby i owoce morza;2004;-;kg; 
1000000000;Region centralny;ryby i owoce morza;2005;-;kg; 
1000000000;Region centralny;ryby i owoce morza;2006;-;kg; 
1000000000;Region centralny;ryby i owoce morza;2007;-;kg; 
1000000000;Region centralny;ryby i owoce morza;2008;-;kg; 
1000000000;Region centralny;ryby i owoce morza;2009;-;kg; 
1000000000;Region centralny;ryby i owoce morza;2010;-;kg; 
1000000000;Region centralny;ryby i owoce morza;2011;-;kg; 
1000000000;Region centralny;ryby i owoce morza;2012;-;kg; 
1000000000;Region centralny;ryby i owoce morza;2013;0,34;kg; 
1000000000;Region centralny;ryby i owoce morza;2014;0,34;kg; 
1000000000;Region centralny;ryby i owoce morza;2015;0,33;kg; 
1000000000;Region centralny;mleko świeże;2003;-;l; 
1000000000;Region centralny;mleko świeże;2004;-;l; 
1000000000;Region centralny;mleko świeże;2005;4,25;l; 
1000000000;Region centralny;mleko świeże;2006;3,83;l; 
1000000000;Region centralny;mleko świeże;2007;3,60;l; 
1000000000;Region centralny;mleko świeże;2008;3,43;l; 
1000000000;Region centralny;mleko świeże;2009;3,37;l; 
1000000000;Region centralny;mleko świeże;2010;3,32;l; 
1000000000;Region centralny;mleko świeże;2011;3,18;l; 
1000000000;Region centralny;mleko świeże;2012;3,16;l; 
1000000000;Region centralny;mleko świeże;2013;3,09;l; 
1000000000;Region centralny;mleko świeże;2014;3,09;l; 
1000000000;Region centralny;mleko świeże;2015;3,01;l; 
1000000000;Region centralny;jogurty i napoje mleczne;2003;-;kg; 
1000000000;Region centralny;jogurty i napoje mleczne;2004;-;kg; 
1000000000;Region centralny;jogurty i napoje mleczne;2005;0,60;kg; 
1000000000;Region centralny;jogurty i napoje mleczne;2006;0,65;kg; 
1000000000;Region centralny;jogurty i napoje mleczne;2007;0,71;kg; 
1000000000;Region centralny;jogurty i napoje mleczne;2008;0,71;kg; 
1000000000;Region centralny;jogurty i napoje mleczne;2009;0,78;kg; 
1000000000;Region centralny;jogurty i napoje mleczne;2010;0,89;kg; 
1000000000;Region centralny;jogurty i napoje mleczne;2011;0,88;kg; 
1000000000;Region centralny;jogurty i napoje mleczne;2012;0,84;kg; 
1000000000;Region centralny;jogurty i napoje mleczne;2013;-;kg; 
1000000000;Region centralny;jogurty i napoje mleczne;2014;-;kg; 
1000000000;Region centralny;jogurty i napoje mleczne;2015;-;kg; 
1000000000;Region centralny;jogurty;2003;-;kg; 
1000000000;Region centralny;jogurty;2004;-;kg; 
1000000000;Region centralny;jogurty;2005;-;kg; 
1000000000;Region centralny;jogurty;2006;-;kg; 
1000000000;Region centralny;jogurty;2007;-;kg; 
1000000000;Region centralny;jogurty;2008;-;kg; 
1000000000;Region centralny;jogurty;2009;-;kg; 
1000000000;Region centralny;jogurty;2010;-;kg; 
1000000000;Region centralny;jogurty;2011;-;kg; 
1000000000;Region centralny;jogurty;2012;-;kg; 
1000000000;Region centralny;jogurty;2013;0,54;kg; 
1000000000;Region centralny;jogurty;2014;0,53;kg; 
1000000000;Region centralny;jogurty;2015;0,51;kg; 
1000000000;Region centralny;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2003;5,22;l; 
1000000000;Region centralny;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2004;4,88;l; 
1000000000;Region centralny;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2005;-;l; 
1000000000;Region centralny;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2006;-;l; 
1000000000;Region centralny;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2007;-;l; 
1000000000;Region centralny;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2008;-;l; 
1000000000;Region centralny;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2009;-;l; 
1000000000;Region centralny;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2010;-;l; 
1000000000;Region centralny;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2011;-;l; 
1000000000;Region centralny;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2012;-;l; 
1000000000;Region centralny;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2013;-;l; 
1000000000;Region centralny;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2014;-;l; 
1000000000;Region centralny;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2015;-;l; 
1000000000;Region centralny;sery i twarogi;2003;0,95;kg; 
1000000000;Region centralny;sery i twarogi;2004;0,92;kg; 
1000000000;Region centralny;sery i twarogi;2005;0,92;kg; 
1000000000;Region centralny;sery i twarogi;2006;0,94;kg; 
1000000000;Region centralny;sery i twarogi;2007;0,94;kg; 
1000000000;Region centralny;sery i twarogi;2008;0,94;kg; 
1000000000;Region centralny;sery i twarogi;2009;0,99;kg; 
1000000000;Region centralny;sery i twarogi;2010;1,04;kg; 
1000000000;Region centralny;sery i twarogi;2011;1,04;kg; 
1000000000;Region centralny;sery i twarogi;2012;1,03;kg; 
1000000000;Region centralny;sery i twarogi;2013;0,85;kg; 
1000000000;Region centralny;sery i twarogi;2014;0,84;kg; 
